customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,WA,,,,0.0,1000.0,1/0/00,Personal Auto,Four-Door Car,2.704934
QZ44356,AZ,F,Bachelors,697953.59%,0.0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.464935
AI49188,,F,Bachelors,1288743.17%,48767.0,108.0,1/0/00,Personal Auto,Two-Door Car,566.472247
WW63253,Cali,M,Bachelors,764586.18%,0.0,106.0,1/0/00,Corporate Auto,SUV,529.881344
GA49547,WA,M,,536307.65%,36357.0,68.0,1/0/00,Personal Auto,Four-Door Car,17.269323
OC83172,,F,Bachelors,825629.78%,62902.0,69.0,1/0/00,Personal Auto,Two-Door Car,159.383042
XZ87318,,F,,538089.86%,55350.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6
CF85061,AZ,M,,721610.03%,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.02968
DY87989,,M,Bachelors,2412750.40%,14072.0,71.0,1/0/00,Corporate Auto,Four-Door Car,511.2
BQ94931,,F,,738817.81%,28812.0,93.0,1/0/00,Special Auto,Four-Door Car,425.527834
SX51350,Cali,M,,473899.20%,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4
VQ65197,Cali,,,819719.71%,0.0,110.0,1/0/00,Personal Auto,SUV,528.0
DP39365,Cali,,,879879.70%,77026.0,110.0,1/2/00,Corporate Auto,Four-Door Car,472.029737
SJ95423,AZ,,,881901.89%,99845.0,110.0,1/1/00,Corporate Auto,SUV,528.0
IL66569,Cali,,,538443.17%,83689.0,70.0,1/2/00,Corporate Auto,Four-Door Car,307.139132
BW63560,,,Bachelors,746313.94%,24599.0,64.0,1/1/00,Corporate Auto,Four-Door Car,42.920271
FV94802,,,,256686.78%,25049.0,67.0,1/0/00,Personal Auto,Two-Door Car,454.245098
OE15005,,,,394524.16%,28855.0,101.0,1/0/00,Personal Auto,SUV,647.442031
WC83389,,,,571033.31%,51148.0,72.0,1/0/00,Personal Auto,Four-Door Car,308.981664
FL50705,Cali,,,816261.71%,66140.0,101.0,1/0/00,Corporate Auto,Four-Door Car,484.8
ZK25313,,,,287205.13%,57749.0,74.0,1/0/00,Personal Auto,Two-Door Car,355.2
QK46697,WA,M,,617710.93%,61040.0,79.0,1/1/00,Personal Auto,Two-Door Car,20.382876
YH23384,AZ,,Bachelors,2412750.40%,14072.0,71.0,1/0/00,Personal Auto,Four-Door Car,511.2
TZ98966,,,Bachelors,245019.10%,0.0,73.0,1/3/00,Corporate Auto,Four-Door Car,554.376763
HM55802,Cali,,Bachelors,239210.79%,17870.0,61.0,1/0/00,Corporate Auto,Four-Door Car,439.2
FS42516,,,,580206.60%,97541.0,72.0,1/0/00,Personal Auto,Four-Door Car,389.185006
US89481,Cali,,Bachelors,394637.21%,0.0,111.0,1/0/00,Personal Auto,Four-Door Car,799.2
HS14476,WA,M,,916206.32%,29723.0,80.0,1/0/00,Personal Auto,Four-Door Car,20.985105
GE62437,,,,1290256.01%,86584.0,111.0,1/2/00,Personal Auto,Four-Door Car,532.8
EJ77678,,,,323536.05%,75690.0,80.0,1/1/00,Personal Auto,Four-Door Car,384.0
SV85652,AZ,,,245458.35%,23158.0,63.0,1/1/00,Personal Auto,Four-Door Car,322.294043
UL64533,,,,1897545.61%,65999.0,237.0,1/0/00,Corporate Auto,Luxury SUV,615.927769
PF41800,Cali,,Bachelors,471532.13%,0.0,65.0,1/0/00,Personal Auto,Four-Door Car,308.15089
HD95276,WA,F,,473787.17%,0.0,130.0,1/0/00,Personal Auto,SUV,23.820158
SK67821,,,Bachelors,493291.63%,37260.0,62.0,1/0/00,Corporate Auto,Four-Door Car,15.437681
YV55495,AZ,,,574422.97%,68987.0,71.0,1/0/00,Personal Auto,Four-Door Car,204.475147
KY38074,Cali,,Bachelors,1389173.57%,42305.0,117.0,1/0/00,Personal Auto,Four-Door Car,561.6
DM79012,,,,738097.67%,65706.0,91.0,1/0/00,Personal Auto,Four-Door Car,436.8
CM61827,,,Bachelors,309003.41%,0.0,90.0,1/0/00,Personal Auto,Two-Door Car,648.0
WC35801,AZ,,,252163.31%,53243.0,66.0,1/2/00,Personal Auto,Four-Door Car,157.397849
QG25316,,,,265206.18%,0.0,70.0,1/1/00,Corporate Auto,Two-Door Car,484.318536
MB98372,,,,277104.50%,50071.0,71.0,1/0/00,Corporate Auto,Two-Door Car,18.918935
IL19217,Cali,,Bachelors,393900.64%,60021.0,99.0,1/0/00,Personal Auto,Four-Door Car,882.871945
SR38658,AZ,,,1223187.97%,43244.0,103.0,1/0/00,Personal Auto,Sports Car,494.4
YD87931,WA,M,,495165.61%,46896.0,35354.0,1/1/00,Personal Auto,Four-Door Car,31.707317
HG65722,,,,1281910.29%,10105.0,172.0,1/3/00,Personal Auto,SUV,0.517753
BU27331,AZ,,Bachelors,446851.05%,0.0,73.0,1/3/00,Personal Auto,Four-Door Car,579.165954
XM45289,,,,551434.40%,23218.0,71.0,1/0/00,Personal Auto,Two-Door Car,447.79344
KP34198,Cali,,Bachelors,334387.53%,0.0,92.0,1/0/00,Corporate Auto,Four-Door Car,529.624084
SH90947,AZ,,,229447.89%,0.0,62.0,1/0/00,Personal Auto,Four-Door Car,313.023175
WE95729,,,,3670742.64%,24804.0,104.0,1/0/00,Personal Auto,SUV,593.830288
PY51963,Cali,,Bachelors,3347334.95%,33190.0,106.0,1/0/00,Corporate Auto,SUV,508.8
RB69909,,,,798343.17%,36014.0,69.0,1/3/00,Special Auto,Four-Door Car,173.956072
NW21079,WA,F,,487938.48%,67163.0,61.0,1/2/00,Personal Auto,Two-Door Car,33.192803
FR46645,Cali,,Bachelors,429399.73%,16701.0,113.0,1/0/00,Personal Auto,Four-Door Car,831.625979
SY17488,AZ,,,716439.55%,46623.0,91.0,1/0/00,Corporate Auto,Four-Door Car,436.8
AP67935,Cali,,,761951.58%,64749.0,64.0,1/0/00,Special Auto,Four-Door Car,302.56519
FS37417,AZ,,,395800.28%,0.0,101.0,1/0/00,Personal Auto,SUV,484.8
ML29312,,,,449949.33%,16969.0,124.0,1/2/00,Personal Auto,SUV,704.768111
UB61619,,,,405956.74%,11621.0,108.0,1/0/00,Personal Auto,Four-Door Car,518.4
CD86811,AZ,,Bachelors,445811.34%,17622.0,65.0,1/1/00,Personal Auto,Four-Door Car,312.0
RU83859,Cali,,Bachelors,811033.31%,11489.0,105.0,1/0/00,Personal Auto,Two-Door Car,504.0
FG63582,,,Bachelors,333976.49%,0.0,94.0,1/0/00,Personal Auto,Two-Door Car,863.327324
NN71951,Cali,,,2426101.78%,66525.0,100.0,1/0/00,Personal Auto,SUV,104.331355
WB37082,AZ,,Bachelors,661397.37%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,676.391482
SM52139,,,,293069.35%,33663.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4
FL82372,,,,867219.43%,22547.0,112.0,1/0/00,Corporate Auto,SUV,537.6
DP45816,,,,1163866.93%,61486.0,97.0,1/0/00,Personal Auto,Two-Door Car,465.258644
GW33762,,,Bachelors,684615.03%,0.0,95.0,1/0/00,Personal Auto,Two-Door Car,456.0
RZ33670,Cali,,,1172777.65%,29879.0,102.0,1/0/00,Personal Auto,Four-Door Car,500.254235
PY70169,,,,2264383.48%,93011.0,113.0,1/0/00,Personal Auto,SUV,281.451042
MO91628,,,,261447.43%,65186.0,65.0,1/0/00,Personal Auto,Two-Door Car,5.434505
HW87852,,,,245175.27%,26840.0,64.0,1/2/00,Personal Auto,Four-Door Car,307.2
HB20453,,,Bachelors,678127.02%,0.0,104.0,1/1/00,Personal Auto,Sports Car,982.399613
BN87372,,,Bachelors,497480.15%,75644.0,65.0,1/3/00,Personal Auto,Two-Door Car,467.803638
YX23800,,,Bachelors,859160.49%,38984.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4
DZ87709,,,,559216.14%,71811.0,71.0,1/0/00,Personal Auto,Four-Door Car,29.03416
XW13033,,,,800947.28%,20961.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6
SP81997,WA,F,,,41275.0,96.0,1/0/00,Personal Auto,Four-Door Car,41.122303
OM82309,Cali,,Bachelors,5816655.35%,61321.0,186.0,1/1/00,Personal Auto,Luxury Car,427.63121
ZU35962,Cali,,,802522.94%,0.0,77.0,1/0/00,Personal Auto,Two-Door Car,25.807685
VH85817,Cali,,,578018.22%,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313
DT85712,Cali,,,411853.91%,34378.0,102.0,1/0/00,Personal Auto,SUV,489.6
YJ88573,,,,252307.02%,43072.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4
SQ19467,,,,655421.64%,25222.0,90.0,1/0/00,Personal Auto,Four-Door Car,475.623251
YB66933,WA,F,Bachelors,538275.20%,77552.0,68.0,1/1/00,Corporate Auto,Four-Door Car,45.215059
ET79815,Cali,,,592672.94%,23091.0,96.0,1/5/00,Personal Auto,Four-Door Car,460.8
QC35222,Cali,,Bachelors,268347.07%,48269.0,69.0,1/3/00,Corporate Auto,Four-Door Car,282.151207
CJ15590,,,Bachelors,269518.24%,32720.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6
OI48267,Cali,,,604702.52%,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8
JY67916,,,,1317101.28%,21513.0,119.0,1/1/00,Personal Auto,Two-Door Car,679.827592
OW15518,WA,F,,1595001.95%,0.0,87.0,1/1/00,Personal Auto,Two-Door Car,46.041452
CZ33664,,,Bachelors,252765.38%,80744.0,63.0,1/0/00,Corporate Auto,Four-Door Car,11.879037
WK30175,,,Bachelors,267209.58%,52822.0,67.0,1/0/00,Corporate Auto,Two-Door Car,350.529033
ON44465,Cali,,,531329.40%,0.0,77.0,1/1/00,Personal Auto,Four-Door Car,863.3947
TV87155,,,Bachelors,2094619.25%,69738.0,74.0,1/1/00,Personal Auto,Four-Door Car,492.127532
KH48895,,,,837535.39%,17780.0,109.0,1/0/00,Personal Auto,SUV,132.588288
NZ30757,Cali,,Bachelors,480166.15%,18107.0,62.0,1/0/00,Personal Auto,Four-Door Car,297.6
RI22468,,,Bachelors,574594.33%,57740.0,74.0,1/3/00,Personal Auto,Four-Door Car,269.905129
FZ30935,,,,606611.60%,32627.0,76.0,1/0/00,Personal Auto,Two-Door Car,380.036697
UG93476,Cali,,,800230.83%,0.0,107.0,1/0/00,Personal Auto,SUV,513.6
AB96670,Cali,,,239391.54%,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,425.266308
XK64261,,,Bachelors,476281.79%,65795.0,62.0,1/1/00,Corporate Auto,Two-Door Car,49.011099
EV68375,Cali,,,433038.60%,60475.0,107.0,1/0/00,Personal Auto,Four-Door Car,513.6
UN51653,Cali,,,940272.98%,0.0,130.0,1/0/00,Personal Auto,SUV,936.0
TO96662,,,Bachelors,696669.45%,41837.0,88.0,1/0/00,Personal Auto,Four-Door Car,142.062768
MR52087,Cali,,Bachelors,769406.43%,32303.0,65.0,1/0/00,Personal Auto,Four-Door Car,45.152521
DE75225,,,,871756.11%,0.0,117.0,1/1/00,Personal Auto,SUV,561.6
EP80820,Cali,,Bachelors,592874.85%,40531.0,74.0,1/0/00,Personal Auto,Two-Door Car,30.567357
GU99037,,,,245297.73%,79898.0,62.0,1/1/00,Corporate Auto,Four-Door Car,271.606799
WI57118,Cali,,,670157.17%,56398.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0
GP39118,WA,M,,499655.27%,71600.0,63.0,1/0/00,Personal Auto,Two-Door Car,46.158117
MQ14219,,,,849269.88%,27804.0,109.0,1/0/00,Personal Auto,SUV,784.8
KN20603,,,Bachelors,771349.40%,45506.0,66.0,1/2/00,Personal Auto,Four-Door Car,316.8
SG20925,WA,F,,518579.76%,99428.0,6464.0,1/1/00,Personal Auto,Four-Door Car,48.046869
JI70886,Cali,,,729006.98%,0.0,102.0,1/1/00,Corporate Auto,SUV,489.6
VF72557,,,,477294.38%,20993.0,133.0,1/0/00,Personal Auto,SUV,638.4
OX28638,,,,680649.14%,37839.0,86.0,1/0/00,Personal Auto,Two-Door Car,465.633954
SK55033,Cali,,Bachelors,246978.13%,92711.0,62.0,1/0/00,Personal Auto,Two-Door Car,368.400146
OO88645,Cali,,,310392.30%,74665.0,78.0,1/2/00,Corporate Auto,Four-Door Car,236.902001
FM14335,WA,F,,1048491.54%,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117
CW82151,Cali,,Bachelors,890273.76%,46833.0,112.0,1/0/00,Personal Auto,Sports Car,64.109663
DY22043,,,,549944.72%,88768.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.4
SH36774,Cali,,,1502359.86%,28262.0,192.0,1/0/00,Personal Auto,Luxury SUV,921.6
EM43724,,,Bachelors,250910.79%,33555.0,63.0,1/0/00,Personal Auto,Four-Door Car,101.89645
FH85960,,,,3122174.81%,42780.0,113.0,1/1/00,Personal Auto,Four-Door Car,542.4
XA55993,,,,313350.34%,58850.0,78.0,1/0/00,Personal Auto,Four-Door Car,143.747794
GO36627,,,,383745.19%,21880.0,97.0,1/0/00,Special Auto,Four-Door Car,424.077159
QH48047,,,,1179049.62%,25251.0,66.0,1/0/00,Personal Auto,Four-Door Car,316.8
HS28694,WA,F,,282986.39%,25317.0,71.0,1/0/00,Personal Auto,Two-Door Car,50.422181
UH65059,,,,430580.83%,24188.0,109.0,1/0/00,Personal Auto,Sports Car,523.2
FV21968,,,Bachelors,597397.69%,41611.0,74.0,1/0/00,Special Auto,Four-Door Car,113.801497
QA87025,,,Bachelors,567044.24%,28406.0,72.0,1/1/00,Personal Auto,Four-Door Car,192.87572
